base,source,symbol,rows,first_utc,last_utc,days,delisted
CARV,binance,CARVUSDT,523434,2025-08-07,2026-08-06,364,0
CASHCAT,,,2134,2026-08-04,2026-08-06,2,0
CAT,binance,CATUSDT,48400,2026-07-02,2026-08-04,35,0
CATI,binance,CATIUSDT,985989,2024-09-20,2026-08-06,686,0
CATSTOCK,bybit,CATSTOCKUSDT,50050,2026-07-02,2026-08-06,36,0
CBRS,binance,CBRSUSDT,113469,2026-05-19,2026-08-06,80,0
CC,binance,CCUSDT,401319,2025-10-31,2026-08-06,280,0
CEEK,bybit_trades,CEEKUSDT,499909,2023-01-01,2024-10-10,649,1
CELO,binance,CELOUSDT,1890999,2023-01-01,2026-08-06,1314,0
CELR,binance,CELRUSDT,1890999,2023-01-01,2026-08-06,1314,0
CETUS,binance,CETUSUSDT,918159,2024-11-06,2026-08-06,638,0
CFG,binance,CFGUSDT,205419,2026-03-16,2026-08-06,143,0
CFX,binance,CFXUSDT,1818129,2023-02-20,2026-08-06,1263,0
CGPT,binance,CGPTUSDT,854484,2024-12-20,2026-08-06,594,0
CHESS,binance,CHESSUSDT,1016190,2024-08-29,2026-08-04,707,0
CHILLGUY,binance,CHILLGUYUSDT,887874,2024-11-27,2026-08-06,617,0
CHIP,binance,CHIPUSDT,161124,2026-04-16,2026-08-06,113,0
CHR,binance,CHRUSDT,1890999,2023-01-01,2026-08-06,1314,0
CHZ,binance,CHZUSDT,1890999,2023-01-01,2026-08-06,1314,0
CIEN,binance,CIENUSDT,64249,2026-06-22,2026-08-06,45,0
CKB,binance,CKBUSDT,1806759,2023-02-28,2026-08-06,1256,0
CL,binance,CLUSDT,182619,2026-04-01,2026-08-06,128,0
CLANKER,binance,CLANKERUSDT,384039,2025-11-12,2026-08-06,268,0
CLO,binance,CLOUSDT,425829,2025-10-14,2026-08-06,297,0
CLOUD,bybit_trades,CLOUDUSDT,641881,2024-07-19,2026-05-08,659,1
CLSK,bybit,CLSKUSDT,2514,2026-08-04,2026-08-06,3,0
COAI,binance,COAIUSDT,453429,2025-09-25,2026-08-06,316,0
COCOS,binance,COCOSUSDT,664832,2023-02-21,2024-05-28,462,0
COHR,binance,COHRUSDT,103129,2026-05-26,2026-08-06,72,0
COIN,binance,COINUSDT,255699,2026-02-09,2026-08-06,178,0
COLLECT,binance,COLLECTUSDT,313404,2025-12-31,2026-08-06,218,0
COMBO,binance,COMBOUSDT,1669680,2023-06-02,2026-08-04,1161,0
COMMON,binance,COMMONUSDT,405330,2025-10-27,2026-08-04,282,0
COMP,binance,COMPUSDT,1890999,2023-01-01,2026-08-06,1314,0
COOK,bybit_trades,COOKUSDT,407252,2024-12-02,2026-03-27,481,1
COOKIE,binance,COOKIEUSDT,829029,2025-01-07,2026-08-06,577,0
COPPER,binance,COPPERUSDT,220059,2026-03-06,2026-08-06,154,0
CORE,bybit,COREUSDT,1834149,2023-02-09,2026-08-06,1275,0
COS,binance,COSUSDT,969780,2024-09-30,2026-08-04,674,0
COST,binance,COSTUSDT,83254,2026-06-09,2026-08-06,59,0
COTI,binance,COTIUSDT,1890999,2023-01-01,2026-08-06,1314,0
COVAL,bybit_trades,COVALUSDT,154327,2024-03-08,2024-07-24,139,1
COW,binance,COWUSDT,918189,2024-11-06,2026-08-06,638,0
CPOOL,bybit_trades,CPOOLUSDT,285683,2025-03-06,2025-10-18,227,1
CRCL,binance,CRCLUSDT,255709,2026-02-09,2026-08-06,178,0
CRDO,binance,CRDOUSDT,84679,2026-06-08,2026-08-06,60,0
CREAM,bybit_trades,CREAMUSDT,188731,2023-01-01,2023-06-30,181,1
CRM,binance,CRMUSDT,91884,2026-06-03,2026-08-06,65,0
CRO,bybit,CROUSDT,1890999,2023-01-01,2026-08-06,1314,0
CROSS,binance,CROSSUSDT,564129,2025-07-10,2026-08-06,393,0
CRV,binance,CRVUSDT,1890999,2023-01-01,2026-08-06,1314,0
CRWD,binance,CRWDUSDT,84684,2026-06-08,2026-08-06,60,0
CRWV,binance,CRWVUSDT,114669,2026-05-18,2026-08-06,80,0
CSCO,binance,CSCOUSDT,118969,2026-05-15,2026-08-06,83,0
CTC,bybit,CTCUSDT,1890999,2023-01-01,2026-08-06,1314,0
CTK,binance,CTKUSDT,1890384,2023-01-01,2026-08-06,1314,0
CTR,binance,CTRUSDT,100509,2026-05-28,2026-08-06,71,0
CTSI,binance,CTSIUSDT,1890999,2023-01-01,2026-08-06,1314,0
CUDIS,binance,CUDISUSDT,503325,2025-08-20,2026-08-04,351,0
